,sol_price,sol_volume,sol_price_return,sol_price_MA7,sol_price_MA30,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower
2021-11-18,195.4874115,3911214658.0,-0.10620123649830437,225.6782749728571,218.13615264933333,29.137826889798433,7.069192718710667,13.530695321821758,229.6294509895,267.05277424518675,192.20612773381322
2021-11-19,215.28001404,3431624914.0,0.10124745316401107,223.78940691428573,219.44725748733336,42.04822368457082,5.7945695134051505,11.983470160138438,230.6226486215,265.1663534161474,196.07894382685262
2021-11-20,218.01527405,2003638941.0,0.012705591934287774,220.38801356857144,220.37048543333333,31.98082933755161,4.948095498497338,10.576395227810218,231.4023612985,263.9097721061655,198.89495049083453
2021-11-21,231.28262329,2636480460.0,0.06085513640185258,219.36759948857144,221.53218841599997,42.123651821466424,5.286879095723407,9.518492001392856,232.789237977,262.54258919630615,203.03588675769385
2021-11-22,215.73727417,3254258844.0,-0.06721364925244744,216.2509809228571,222.13330230766667,37.59184261509934,4.251973675479206,8.465188336210126,232.56412201000003,262.78177602098907,202.346467999011
2021-11-23,221.8368988,2328763768.0,0.02827339250237082,216.62210518999998,222.782466126,43.25112095876832,3.8792745426328565,7.548005577494672,231.51102600149997,261.6801756280098,201.34187637499014
2021-11-24,214.92153931,2293934142.0,-0.031173170592484034,216.08014788,222.94304097566666,42.75895889670748,2.9914129317402853,6.636687048343796,229.88771438650002,259.95353955384894,199.8218892191511
2021-11-25,206.25299072,2586718627.0,-0.04033354971228165,217.61808776857146,223.157898967,39.89051678309561,1.570196535038292,5.623388945682696,228.37664718650004,260.0437673352081,196.709527037792
2021-11-26,191.51174927,3380122748.0,-0.07147164944634465,214.22262137285716,223.415804037,37.45459780952939,-0.7371255613526273,4.351286044275631,225.00551834149996,257.32396550221245,192.68707118078746
2021-11-27,193.10215759,1443178833.0,0.008304494768923032,210.66360473571427,223.35707651833337,32.04670069714456,-2.409586077882807,2.9991116198439434,222.16945190450002,255.26363031810428,189.07527349089577
2021-11-28,200.676651,2033215941.0,0.03922531733737733,206.29132298,223.37353973433335,36.50557055288687,-3.0882256284647553,1.7816441701822034,219.7799255375,251.76179676089546,187.79805431410452
2021-11-29,204.31936646,2110532147.0,0.01815216390072205,204.66019330714286,223.67031656966668,38.350239446671715,-3.29414283933707,0.7664867682783488,218.03523712199998,249.3536054520961,186.71686879190386
2021-11-30,208.67098999,2888387657.0,0.021298145180241423,202.77934919142857,223.87864888566668,45.89355316024479,-3.070795838745994,-0.0009697531265198123,216.77981033349997,247.44704124787737,186.11257941912257
2021-12-01,229.79924011,3532771294.0,0.10125149701457059,204.90473502,224.753787232,53.71247019185689,-1.1753695940806779,-0.23584972131735144,216.55773468049998,246.75327346511403,186.36219589588592
2021-12-02,233.99304199,4074103518.0,0.01824985094812548,208.86759948714285,225.21223551466667,64.78181475534385,0.6575937913873986,-0.05716101877640145,216.8322822575,247.5798964589302,186.0846680560698
2021-12-03,211.22439575,4061060881.0,-0.0973048003751027,211.68369184142858,224.1564214073333,48.47787983657706,0.2698800053992443,0.008247186058727693,215.3022506715,243.77464208335118,186.8298592596488
2021-12-04,201.12483215,5949505665.0,-0.04781438036141239,212.82978820714285,222.6143234253333,43.99288522624922,-0.8426231056216125,-0.16192687227734034,213.43721618650002,240.3775500597307,186.49688231326934
2021-12-05,196.16825867,3402591975.0,-0.024644264097152146,212.18573216,221.270787557,36.726877246052396,-2.100035984676481,-0.5495486947571685,211.36794891350002,236.82562042412425,185.91027740287578
2021-12-06,194.19921875,3693853028.0,-0.010037505217968867,210.73999677285715,219.11295064300003,40.9275166985302,-3.2183309008057677,-1.0833051359668884,210.1159584045,236.3934401557395,183.83847665326047
2021-12-07,190.59690857,2556849839.0,-0.018549560617117544,208.15798514142858,217.13873138433334,36.55796136622761,-4.345175525798169,-1.7356792139331445,208.710041809,236.03813550450752,181.38194811349246
2021-12-08,194.6217041,2277446203.0,0.021116793342541573,203.13262285428573,215.343882243,41.04250515737313,-4.857447021324447,-2.3600327754114048,208.66675643900004,236.08562502306594,181.24788785493413
2021-12-09,181.17808533,1968182104.0,-0.06907564000720312,195.58762904571427,213.40938059500002,39.382875337135644,-6.2758692399695235,-3.1432000683230283,206.9616600035,236.78488645078363,177.13843355621634
2021-12-10,167.95483398,2118266396.0,-0.07298482775063553,189.4062630785714,211.21522420233336,39.89572839237782,-8.370495083181822,-4.188659071294787,204.458638,238.48282654637583,170.43444945362418
2021-12-11,171.94949341,1877844189.0,0.023784128955024242,185.2383575442857,209.138848877,41.11033460756863,-9.59753115871078,-5.270433488777986,201.49198150599997,236.01158069774633,166.97238231425362
2021-12-12,173.43167114,1196808540.0,0.008619843540136785,181.9902736114286,207.30316823333337,37.93199329817367,-10.331274234766681,-6.282601637975725,199.3767013545,235.37400362789708,163.37939908110292
2021-12-13,155.21305847,2547597256.0,-0.10504778366168954,176.42082214285713,204.41610260000002,30.73611606054034,-12.24174547048267,-7.474430404477115,196.045509338,235.45992692610162,156.63109174989836
2021-12-14,153.34144592,2604045117.0,-0.012058344629306661,171.09861319285713,201.5799667356667,27.864094038401774,-13.748348773445514,-8.729214078270795,192.96650466850002,235.65715351613568,150.27585582086436
2021-12-15,178.34078979,3783787658.0,0.16303057350223793,168.77276829142855,199.60620625766666,30.031336363578603,-12.777809983875699,-9.538933259391776,191.570894622,234.25766293176594,148.88412631223406
2021-12-16,176.95466614,2766320569.0,-0.0077723310053308126,168.16942269285715,198.196727498,27.3729661307151,-11.982374243513334,-10.027621456216089,190.8430404655,234.02757985264145,147.65850107835854
2021-12-17,175.5032959,2711688386.0,-0.008201932572106996,169.2477743957143,196.7563293453333,32.944968258214814,-11.338397152762013,-10.289776595525275,189.96309738099998,233.66788275403945,146.2583120079605
