,btc_price,btc_volume,eth_price,eth_volume,sol_price,sol_volume,btc_price_return,eth_price_return,sol_price_return,btc_price_MA7,btc_price_MA30,eth_price_MA7,eth_price_MA30,sol_price_MA7,sol_price_MA30,btc_price_RSI,btc_price_MACD,btc_price_Signal,btc_price_MA20,btc_price_BB_upper,btc_price_BB_lower,eth_price_RSI,eth_price_MACD,eth_price_Signal,eth_price_MA20,eth_price_BB_upper,eth_price_BB_lower,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower,btc_volatility_30d,btc_volatility_90d,btc_momentum_14d,btc_momentum_30d,btc_volume_ma20,btc_volume_ma50,btc_price_to_ma50,eth_volatility_30d,eth_volatility_90d,eth_momentum_14d,eth_momentum_30d,eth_volume_ma20,eth_volume_ma50,eth_price_to_ma50,sol_volatility_30d,sol_volatility_90d,sol_momentum_14d,sol_momentum_30d,sol_volume_ma20,sol_volume_ma50,sol_price_to_ma50
2023-09-11,25155.0,1718.8000454,1551.7,14280.32430554,17.73916626,380225621.0,-0.02635856943799353,-0.04026472043542795,-0.02792861337724717,25796.285714285714,26518.366666666665,1621.9857142857143,1674.3966666666668,19.259432382857145,20.812237295,41.431670281995665,-545.8150578114182,-585.0515887416934,26091.85,27193.19869950849,24990.501300491505,33.868378812199026,-38.70698077519728,-38.206698504338576,1645.7399999999998,1715.40833910584,1576.0716608941595,32.06041668004103,-0.9503659491270966,-0.8448053608843612,19.991013432000003,21.995263505582503,17.9867633584175,0.34360496693306686,0.29808054677275614,-0.03631766463624875,-0.14482406935237124,1537.741252485,1486.8326027383998,0.9103167055329017,0.3136573394170641,0.3108786778054718,-0.06082798692652225,-0.16088038070516975,5308.428372312001,5762.7627502192,0.8890714740813063,0.513256241847583,0.6282165513452453,-0.13707838162369612,-0.28777620357812794,283846354.15,342568696.02,0.8038004464260401
2023-09-12,25844.0,2590.68383772,1593.3,4804.3650531,17.92982674,361388393.0,0.02739018087855305,0.026809305922536497,0.010747995548692657,25805.0,26403.7,1616.1714285714286,1666.1966666666665,18.924781254285712,20.601802,29.534580252283604,-510.4526872374772,-570.1318084408503,26062.5,27157.058887364707,24967.941112635293,25.389351684172382,-38.63453101550999,-38.29226500657286,1641.4299999999998,1712.9454190225931,1569.9145809774066,21.77127095651143,-0.9969700966124044,-0.8752383080299699,19.802323532499997,21.838016237863744,17.76663082713625,0.3561872955276689,0.29695354125168655,-0.06787852557166563,-0.11747029094386008,1543.3505923495,1480.4687626503999,0.937512016361841,0.3274591855091186,0.3027406688552558,-0.0785912560721721,-0.1337465340075028,5073.034387332,5606.2742050306,0.9155959907549688,0.5146269247437733,0.6250512510240379,-0.17680449388357833,-0.2604087218315334,281681447.6,339949570.9,0.816473507222403
2023-09-13,26226.0,1594.39555457,1608.1,4610.6378748,18.40299988,356729875.0,0.014780993654233132,0.009288897257264672,0.026390279552695795,25873.285714285714,26297.633333333335,1612.7285714285713,1658.3366666666666,18.750919887142857,20.377141253666665,38.20816864295125,-446.45706713268373,-545.396860179217,26065.4,27161.442142876676,24969.357857123327,31.797752808988733,-36.95686204691697,-38.025184414641686,1638.795,1711.1835560894406,1566.4064439105596,30.845922255375953,-0.9843758295241116,-0.8970658123287983,19.670821953500003,21.711555780839834,17.63008812616017,0.3595785505831069,0.2965060381414211,-0.039340659340659334,-0.10820184983677916,1545.0866491195,1487.9254228092,0.953443207489688,0.3293179013506561,0.30279959115677035,-0.05699876854512409,-0.12788112153587516,4879.2364848765,5588.4235789906,0.9267573003532753,0.5070637961920255,0.6257166676659772,-0.11672258593955243,-0.2680614895823308,283094293.8,340149324.94,0.8417587873820094
2023-09-14,26529.0,2110.23903796,1627.1,5665.38731125,18.83830643,349380172.0,0.011553420269961201,0.011815185622784607,0.023654108180106048,25913.85714285714,26209.533333333333,1609.7571428571428,1651.6633333333334,18.600606647142857,20.208531952666664,58.5554600171969,-367.05927853624235,-509.7293438506221,26089.45,27204.822861901772,24974.07713809823,45.91250552364118,-33.70561870061874,-37.1612712718371,1637.5,1709.7451091047433,1565.2548908952567,42.11098393379302,-0.9285652592466853,-0.9033657017123757,19.5931013115,21.636471104612607,17.549731518387393,0.3619352922953792,0.2929661508511696,0.023021749190189622,-0.0906005758946935,1549.7416209389999,1500.3323464254,0.9664438625404916,0.3322706075862714,0.29884520408991067,-0.011242100145843481,-0.10956055382257979,4719.827028509,5605.150222211801,0.9403636851206274,0.5016113385821382,0.6240434270859364,-0.04544117264461767,-0.21167371541289648,286647681.4,333374224.86,0.8666955693414135
2023-09-15,26607.0,1425.5758655,1641.5,3728.59509905,19.16884422,205202282.0,0.0029401786723961543,0.008850101407412048,0.017546045937208987,26013.714285714286,26139.733333333334,1610.542857142857,1646.1933333333334,18.53914942142857,20.087094244,61.78269734925721,-294.4477999659648,-466.6730350736907,26119.4,27257.501170238622,24981.29882976138,52.88332588287888,-29.625520709067814,-35.65412115928325,1637.26,1709.413853163905,1565.106146836095,48.58213902299145,-0.8478894017444674,-0.8922704417187941,19.5375223165,21.562563523206077,17.51248110979392,0.3600913120130516,0.2928050520013106,0.03135902007907587,-0.07295913034389045,1608.5719124995,1502.4147145726001,0.9711335329594845,0.33323833576267936,0.2990636777046883,0.007920913668181262,-0.09088391670358875,4855.6002237175,5603.098452563201,0.9510990800151574,0.49330490680528827,0.6236735708939009,-0.008226494113858451,-0.15970257653459485,289704539.9,327194040.82,0.8867415034590553
2023-09-16,26571.0,635.87688058,1635.0,1341.36695168,19.14036942,146477836.0,-0.0013530273988048291,-0.003959792872372803,-0.0014854729723502436,26109.714285714286,26137.366666666665,1610.5,1644.5766666666668,18.49547767857143,20.001440748333334,60.31792758316161,-237.0747292916385,-420.75337391728027,26143.45,27299.128242424897,24987.771757575105,49.52638700947228,-26.609768485384393,-33.84525062450348,1636.1200000000001,1707.6249825284815,1564.6150174715187,46.76966585891876,-0.7772907578125938,-0.8692745049375541,19.455198861,21.39861732867894,17.511780393321057,0.29377260342719386,0.2926105675744389,0.027097023579435664,-0.002664965092710747,1619.8728764025,1490.0079511211998,0.9717675043228677,0.27118852742711974,0.2990682624059172,-0.001282756093091364,-0.028809028809028803,4858.097472761,5511.4315173334,0.9499661265901038,0.4762153152290675,0.6230929364252801,-0.01812758399888481,-0.1183605671603033,288153625.1,322642688.62,0.8901237591214709
2023-09-17,26535.0,537.31031842,1623.3,1494.23348928,18.8316288,112594680.0,-0.0013548605622670795,-0.007155963302752366,-0.016130337572136444,26209.571428571428,26153.5,1611.4285714285713,1643.3166666666664,18.578734535714286,19.917978605333335,58.47584758475847,-192.29440634974162,-375.06158040377255,26165.05,27333.621503122093,24996.478496877906,47.30719517449375,-24.877087757594154,-32.051618051121615,1634.675,1705.9795322253235,1563.3704677746764,43.438695837155045,-0.7377492969792137,-0.8429694633458861,19.368925286,21.25884024439245,17.47901032760755,0.2861629750930337,0.29088689791041084,0.02175587216018493,0.018578941307435315,1586.0176141315,1492.5453584190002,0.9724603338065839,0.2693099967912954,0.298809494340387,-0.007641520968333593,-0.022756005056890016,4668.280334686,5519.8857582574,0.9459988671091002,0.47595077005516795,0.6205677993542735,-0.03815964359884361,-0.11735675756064745,283753357.45,319593357.32,0.8809584579684819
2023-09-18,26770.0,2063.19165695,1637.6,3994.48147155,19.65724564,316245106.0,0.008856227623893043,0.008809215794985503,0.043842030276212585,26440.285714285714,26175.933333333334,1623.7,1642.25,18.852745875714284,19.843918864666666,63.91571553994732,-136.27227975594724,-327.30372027420754,26117.25,27076.428349045404,25158.071650954596,51.64377861007071,-22.095334050549127,-30.06036125100712,1630.0949999999998,1685.923024466861,1574.2669755331385,51.22550970148061,-0.6325009481555774,-0.8008757603078245,19.2627493865,20.784980858526882,17.74051791447312,0.28711372179275285,0.2761407925971737,0.036833339788527875,0.025788404797486342,1456.2211959800002,1517.9671876838,0.9828801877495752,0.2702055408708126,0.2941299651805942,0.0048475179480884645,-0.019166267369429835,4353.5990836010005,5532.9755773558,0.9568315646907182,0.48854979541357746,0.6220573480713829,0.00809444646586166,-0.10154889964617486,276081635.75,318613015.0,0.9235595714887856
2023-09-19,27214.0,1979.09902779,1643.5,2952.69188932,20.03618813,253895801.0,0.01658573029510646,0.0036028334147533148,0.019277496803972394,26636.0,26210.0,1630.8714285714284,1640.8533333333332,19.153654645714283,19.786015956333333,68.70588235294117,-55.40853635903113,-272.9246834911723,26112.95,27050.326287985496,25175.573712014506,51.96362133112857,-19.1934434361915,-27.886977688043995,1627.0049999999999,1670.8650393606154,1583.1449606393844,48.04654539424747,-0.5126043970469709,-0.7432214876556538,19.222813607,20.60703195153939,17.838595262460608,0.29057639724127987,0.2583086503109436,0.055501687158205026,0.03901954795357354,1446.4144766305,1538.935473424,1.0006640697104054,0.26885727851570773,0.2790475941293742,0.005813953488372103,-0.024860567224397778,4245.7905610745,5504.743490707399,0.9626716525267861,0.49278815787095503,0.6199245192347452,-0.011651145841715782,-0.07978070454184472,274160303.05,316151964.38,0.9446342291451166
2023-09-20,27128.0,2381.37401244,1622.4,20594.14100715,20.30493736,233206126.0,-0.0031601381641801485,-0.012838454517797304,0.01341319158396237,26764.85714285714,26243.433333333334,1632.9142857142856,1639.3533333333332,19.42536,19.755905215666665,67.80185758513932,1.7172858050325885,-217.99628963193132,26172.75,27208.913546333846,25136.586453666154,48.12404287901992,-18.384344596609935,-25.986451069757184,1625.845,1668.8532232048838,1582.8367767951163,56.04828127607706,-0.3913880221664705,-0.6728547945578172,19.251305867,20.70179495647814,17.80081677752186,0.2906535725634125,0.2582844684036121,0.05359639583656972,0.038392344497607755,1420.6572835890001,1540.1897673824,0.9993891966646749,0.2696251776337729,0.27940953554026393,-0.006004166156108326,-0.026988125224901016,4912.301689325001,5717.1783101278,0.9531071740348793,0.48956917741237505,0.6168373260295157,0.03490860764227843,-0.04259294434758143,268638146.55,312251003.62,0.9606507376081516
