,btc_price,btc_volume,btc_price_return,btc_price_MA7,btc_price_MA30,btc_price_RSI,btc_price_MACD,btc_price_Signal,btc_price_MA20,btc_price_BB_upper,btc_price_BB_lower
2022-10-30,20628.0,679.83876303,-0.009269487536621712,20362.571428571428,19620.666666666668,66.23809523809524,283.43061830874285,105.71272426136322,19631.85,20910.440552137534,18353.259447862463
2022-10-31,20498.0,1880.02456732,-0.006302113631956541,20529.14285714286,19660.2,61.74944403261675,293.55610755810994,143.28140092071257,19703.8,21008.350190684643,18399.249809315355
2022-11-01,20480.0,1276.69180973,-0.0008781344521416878,20585.285714285714,19707.833333333332,64.8753894080997,296.7079169978315,173.96670413613637,19769.95,21091.812557555797,18448.087442444204
2022-11-02,20154.0,2292.08236192,-0.015917968749999956,20496.571428571428,19725.1,62.9471032745592,269.790298558888,193.13142302068673,19808.8,21127.704744980125,18489.895255019874
2022-11-03,20209.0,1001.18058729,0.0027289868016273644,20484.14285714286,19720.633333333335,64.7894469812278,250.01392743368706,204.5079239032868,19860.2,21156.01181220379,18564.388187796212
2022-11-04,21153.0,3501.47535754,0.04671186105200653,20563.285714285714,19753.666666666668,70.86481947942906,306.9753013107111,225.00139938477167,19964.55,21325.56037933104,18603.53962066896
2022-11-05,21301.0,774.12522007,0.006996643502103828,20631.85714285714,19798.666666666668,71.50482447136112,359.9111321111086,251.9833459300391,20066.4,21509.09621853063,18623.703781469372
2022-11-06,20907.0,551.95849001,-0.01849678418853573,20671.714285714286,19844.5,63.610373698182556,365.8533228281012,274.7573413096515,20134.4,21602.006056425664,18666.79394357434
2022-11-07,20590.0,1417.99563473,-0.015162385803797807,20684.85714285714,19883.5,62.650844730490746,341.0518674316918,288.0162465340596,20197.2,21627.615854150336,18766.784145849666
2022-11-08,18550.0,12035.90178845,-0.0990772219524041,20409.14285714286,19853.666666666668,37.71775611315328,154.99885403072403,261.41276803339247,20168.4,21708.607422809775,18628.192577190228
2022-11-09,15877.0,8350.5654456,-0.14409703504043125,19798.14285714286,19745.2,20.286338267410812,-205.76631434930096,167.9769515568538,20010.1,22434.38701618792,17585.812983812077
2022-11-10,17551.0,8375.25692463,0.10543553568054409,19418.428571428572,19694.933333333334,35.45618310903889,-352.5337104949067,63.87481914650171,19929.4,22569.945190917668,17288.854809082335
2022-11-11,17007.0,5636.75561159,-0.030995384878354515,18826.14285714286,19623.266666666666,31.442446786526133,-506.9009443925206,-50.28033356130276,19819.45,22753.626436056642,16885.27356394336
2022-11-12,16788.0,1882.26415655,-0.012877050626212694,18181.428571428572,19536.966666666667,29.157622739018095,-639.537370444581,-168.13174093795843,19680.15,22912.745911389353,16447.55408861065
2022-11-13,16310.0,2703.91194662,-0.028472718608529957,17524.714285714286,19441.266666666666,28.323293172690768,-774.2976772324437,-289.3649281968555,19529.05,23095.444049429323,15962.655950570675
2022-11-14,16589.0,7964.34006887,0.01710606989576946,16953.14285714286,19358.7,30.665743396972985,-848.798798764441,-401.2517023103726,19354.15,23141.575915205918,15566.724084794085
2022-11-15,16874.0,5633.3993478,0.017180059075290854,16713.714285714286,19279.033333333333,32.62336160370086,-874.7606598078673,-495.9534938098716,19159.1,23039.096359197258,15279.10364080274
2022-11-16,16654.0,4035.80042365,-0.013037809647979182,16824.714285714286,19182.6,32.96007789678676,-902.6822243312599,-577.2992399141492,18977.0,22972.472226884463,14981.527773115537
2022-11-17,16686.0,2458.66689134,0.001921460309835421,16701.14285714286,19094.333333333332,32.80960281057871,-911.7184105039305,-644.1830740321054,18781.35,22825.32565066527,14737.374349334728
2022-11-18,16686.0,2458.66689134,0.0,16655.285714285714,19013.0,25.991615607868425,-908.4080901491398,-697.0280772555124,18574.6,22602.284950833873,14546.915049166124
2022-11-19,16690.0,1377.3963971,0.00023972192256982439,16641.285714285714,18934.566666666666,24.828037995414334,-895.1432170489607,-736.6511052142021,18377.7,22367.569862013712,14387.83013798629
2022-11-20,16256.0,1827.05676561,-0.026003594967046184,16633.571428571428,18837.6,24.72007826937711,-909.1705305226242,-771.1549902758865,18165.6,22131.819273607005,14199.38072639299
2022-11-21,15766.0,5633.48780213,-0.0301427165354331,16516.0,18722.933333333334,24.263764404609475,-948.8879922980232,-806.7015906803139,17929.9,21877.24543179473,13982.554568205273
2022-11-22,16197.0,3718.55455894,0.0273373081314221,16419.285714285714,18610.366666666665,34.8447765039289,-934.8103570246421,-832.3233439491796,17732.05,21606.004186889837,13858.095813110162
2022-11-23,16603.0,3505.26636046,0.025066370315490527,16412.0,18519.4,56.60480349344978,-880.740296830114,-842.0067345253666,17551.75,21272.956248971495,13830.543751028503
2022-11-24,16591.0,2141.4844617,-0.0007227609468168916,16398.428571428572,18402.866666666665,37.480438184663534,-829.298052554288,-839.4649981311509,17323.65,20654.162290294942,13993.137709705063
2022-11-25,16508.0,2043.44612911,-0.005002712313905144,16373.0,18260.633333333335,42.603024014230655,-786.1646924800152,-828.8049370009238,17084.0,19851.70138334768,14316.29861665232
2022-11-26,16454.0,1503.64131011,-0.003271141264841293,16339.285714285714,18132.566666666666,44.79426433915212,-747.7192999149302,-812.5878095837252,16861.35,18972.768707388714,14749.931292611283
2022-11-27,16424.0,1189.79470656,-0.0018232648596085976,16363.285714285714,17993.4,52.065217391304344,-711.470410584283,-792.3643297838369,16653.05,17831.504737542946,15474.595262457053
2022-11-28,16210.0,3254.70177817,-0.013029712615684419,16426.714285714286,17839.7,42.96846011131725,-692.0335837801067,-772.2981805830909,16536.05,17320.193240147506,15751.906759852493
2022-11-29,16434.0,2310.87079583,0.013818630475015414,16460.571428571428,17699.9,41.647684130599856,-651.0499321952921,-748.0485309055312,16563.9,17286.64881711973,15841.151182880272
2022-11-30,17170.0,4442.42726142,0.04478520141170739,16541.571428571428,17588.966666666667,58.19047619047619,-552.808610501259,-709.0005468246768,16544.85,17171.784152519496,15917.915847480499
2022-12-01,16977.0,3207.29094124,-0.011240535818287656,16596.714285714286,17472.2,54.39444276653578,-484.935112188261,-664.1874598973936,16543.35,17165.755613233698,15920.9443867663
2022-12-02,17095.0,2354.25847362,0.0069505801967366665,16680.571428571428,17370.233333333334,55.96383785360163,-416.81843844231116,-614.7136556063772,16558.7,17220.412006059858,15896.987993940143
2022-12-03,16886.0,1176.68422549,-0.012225797016671591,16742.285714285714,17259.466666666667,52.69675288937809,-375.3729711092492,-566.8455187069516,16587.5,17253.759472147984,15921.240527852016
2022-12-04,17114.0,1610.41549764,0.013502309605590401,16840.85714285714,17124.833333333332,62.514585764294054,-320.43566227440533,-517.5635474204423,16613.75,17320.40285902929,15907.097140970709
2022-12-05,16968.0,2250.64943146,-0.008531027229169097,16949.14285714286,16980.4,69.48767833981842,-285.38864638073574,-471.128567212501,16618.45,17333.59046468292,15903.309535317081
2022-12-06,17087.0,1304.40031155,0.0070132013201320564,17042.428571428572,16853.066666666666,66.05339105339105,-245.18498838562664,-425.93985144712616,16640.1,17385.354996992763,15894.845003007234
2022-12-07,16836.0,1186.08578319,-0.014689530052086397,16994.714285714286,16727.933333333334,54.451662208635845,-230.91505704033625,-386.9348925657682,16647.6,17397.80261123986,15897.397388760139
2022-12-08,17229.0,1763.33349476,0.023342836778332154,17030.714285714286,16683.9,60.640426951300874,-185.75297342746853,-346.69850873810833,16674.75,17468.82380673504,15880.676193264962
2022-12-09,17229.0,1763.33349476,0.0,17049.85714285714,16728.966666666667,62.36706689536878,-148.2527315834559,-307.0093533071779,16701.7,17533.636510745317,15869.763489254687
2022-12-10,17128.0,1355.48361402,-0.005862209066109458,17084.428571428572,16714.866666666665,61.37744767049291,-125.23969046254933,-270.6554207382522,16745.3,17570.25629231303,15920.343707686967
2022-12-11,17091.0,1239.3577856,-0.0021602055114432472,17081.14285714286,16717.666666666668,61.23273829572247,-108.73386405201381,-238.27110940100454,16811.55,17508.207425451976,16114.892574548025
2022-12-12,17209.0,1692.91694971,0.006904218594582012,17115.571428571428,16731.7,67.38600765750087,-85.1497110061282,-207.64682972202928,16862.15,17516.594328391406,16207.705671608597
2022-12-13,17772.0,3862.90787671,0.03271543959556045,17213.428571428572,16780.433333333334,70.82814445828144,-20.790050232215435,-170.27547382406652,16920.6,17678.262999669983,16162.937000330012
2022-12-14,17803.0,3864.02469832,0.0017443169029933703,17351.571428571428,16820.9,62.624650977263656,32.34404353916398,-129.7515703514204,16981.2,17817.646015507504,16144.753984492498
2022-12-15,17362.0,1890.6371207,-0.024771105993371956,17370.571428571428,16837.166666666668,56.98729582577133,38.42523901772074,-96.11620847759218,17023.9,17845.69825928486,16202.10174071514
2022-12-16,16633.0,2859.76917009,-0.041988250201589694,17285.428571428572,16836.466666666667,43.13725490196078,-15.402032205834985,-79.97337322324076,17032.85,17832.10472523203,16233.595274767966
2022-12-17,16781.0,1113.80758183,0.008897973907292744,17235.85714285714,16839.633333333335,48.41149773071105,-45.592606159265415,-73.0972198104457,17050.7,17807.52108016669,16293.87891983331
2022-12-18,16749.0,697.75458834,-0.001906918538823632,17187.0,16841.733333333334,44.1299453200386,-71.27932243435498,-72.73364033522756,17077.65,17741.041057185044,16414.25894281496
2022-12-19,16446.0,2174.57311813,-0.01809063227655383,17078.0,16833.6,42.00857317819963,-114.76288279307846,-81.13948882679774,17078.25,17739.207160818536,16417.292839181464
2022-12-20,16898.0,2117.32194813,0.02748388665937007,16953.14285714286,16855.0,47.37427063073076,-111.46638013631673,-87.20486708870155,17064.65,17728.84378118409,16400.456218815914
2022-12-21,16824.0,1619.70708472,-0.004379216475322578,16813.285714285714,16890.266666666666,49.82466393921683,-113.51651189940821,-92.46719605084289,17057.0,17728.923867879967,16385.076132120033
2022-12-22,16821.0,1958.28070801,-0.0001783166904422151,16736.0,16911.066666666666,43.27176781002638,-114.06842126480115,-96.78744109363454,17043.3,17723.08885267911,16363.511147320889
2022-12-23,16779.0,2131.82970264,-0.0024968789013732895,16756.85714285714,16916.933333333334,42.680546519193236,-116.55133120902974,-100.74021911671359,17037.95,17724.60090342484,16351.29909657516
2022-12-24,16839.0,961.07844925,0.003575898444484249,16765.14285714286,16925.2,45.2357401912298,-112.38208593787931,-103.06859248094673,17024.2,17715.437060421726,16332.962939578274
2022-12-25,16828.0,715.3400759,-0.000653245442128414,16776.428571428572,16935.866666666665,45.62687063518457,-108.71236857799886,-104.19734770035717,17017.2,17713.649219832812,16320.750780167187
2022-12-26,16917.0,730.00082463,0.00528880437366297,16843.714285714286,16951.3,45.09738079247818,-97.49863140341768,-102.85760444096927,17008.7,17705.711696658975,16311.688303341027
2022-12-27,16700.0,2192.58511361,-0.012827333451557621,16815.428571428572,16960.5,29.635258358662625,-104.91238568084009,-103.26856068894344,17001.9,17708.592190877927,16295.207809122076
2022-12-28,16540.0,2246.57471744,-0.009580838323353325,16774.85714285714,16971.5,27.127852227453815,-122.28883264257456,-107.07261507966966,16967.45,17694.412961494392,16240.48703850561
2022-12-29,16628.0,1557.13203307,0.005320435308343363,16747.285714285714,16977.966666666667,34.75913621262458,-127.48931008960062,-111.15595408165586,16937.4,17668.515197212608,16206.284802787395
2022-12-30,16603.0,2244.56900529,-0.0015034880923743277,16722.14285714286,16959.066666666666,49.11971830985915,-132.10519059550643,-115.34580138442598,16911.15,17651.09716028666,16171.202839713344
2022-12-31,16528.0,603.92156358,-0.004517255917605212,16677.714285714286,16944.1,42.24402207234825,-140.19905491671307,-120.31645209088342,16883.0,17636.844602173966,16129.155397826036
2023-01-01,16615.0,473.82361803,0.005263794772507158,16647.285714285714,16928.1,46.02609727164887,-138.00252063940206,-123.85366580058715,16853.3,17599.835041667407,16106.764958332593
2023-01-02,16673.0,1050.89359259,0.003490821546795031,16612.428571428572,16921.0,57.8764746703678,-130.08213030088882,-125.09935870064749,16798.35,17409.7078588644,16186.992141135597
2023-01-03,16670.0,1398.45413875,-0.00017993162598217705,16608.14285714286,16906.2,38.50806451612903,-122.63359507497807,-124.60620597551362,16741.7,17130.576979621437,16352.823020378564
2023-01-04,16849.0,2016.36996126,0.010737852429514083,16652.285714285714,16902.233333333334,51.13947128532361,-101.12111197689956,-119.9091871757908,16716.05,16980.387483682316,16451.712516317682
2023-01-05,16826.0,1136.32658619,-0.0013650661760341576,16680.571428571428,16893.533333333333,50.22381378692928,-84.94898291741629,-112.9171463241159,16725.7,16991.359933027805,16460.040066972197
2023-01-06,16950.0,1755.18037801,0.0073695471294426,16730.14285714286,16897.333333333332,57.130942452043364,-61.41869396292532,-102.61745585187779,16734.15,17017.38564675952,16450.91435324048
2023-01-07,16945.0,529.24357095,-0.0002949852507374562,16789.714285714286,16887.866666666665,54.63286713286713,-42.68221465142415,-90.63040761178708,16743.95,17042.49840040562,16445.40159959438
2023-01-08,17119.0,816.23975246,0.01026851578636756,16861.714285714286,16884.2,61.13236419280796,-13.635887958349485,-75.23150368109957,16777.6,17086.286453107536,16468.91354689246
2023-01-09,17179.0,2249.94030871,0.003504877621356428,16934.0,16885.9,60.250391236306726,14.062925125494075,-57.37261791978084,16791.65,17145.662354847598,16437.637645152405
2023-01-10,17446.0,1225.88648963,0.015542231794632988,17044.85714285714,16897.733333333334,78.08734939759036,56.90315845185978,-34.517462645452724,16822.75,17282.286551453282,16363.213448546718
2023-01-11,17930.0,1915.78989016,0.027742749054224358,17199.285714285714,16921.766666666666,92.07021791767555,128.42866138902173,-1.928237838557834,16878.2,17553.724155176424,16202.675844823576
2023-01-12,18853.0,5160.23328597,0.05147796988287778,17488.85714285714,16957.8,94.73260956976277,256.6332159820777,49.78405292556927,16981.9,18090.953821490933,15872.846178509071
2023-01-13,19931.0,3771.97564995,0.05717922876995707,17914.714285714286,17028.733333333334,97.00564971751412,440.1480867774153,127.85685969593848,17136.5,18855.817428827166,15417.182571172834
2023-01-14,20960.0,6836.20414066,0.051628117003662544,18488.285714285714,17148.666666666668,99.31019136626614,660.9970814258704,234.4849040419249,17343.1,19758.469985827684,14927.730014172315
2023-01-15,20885.0,1349.13150696,-0.003578244274809128,19026.285714285714,17290.4,97.63498438197233,820.5112842823401,351.69018009000797,17541.5,20417.4547979786,14665.545202021402
2023-01-16,21189.0,3235.37541466,0.014555901364615709,19599.14285714286,17437.333333333332,97.7580372250423,960.3869556453064,473.4295352010677,17765.95,21038.68839789689,14493.21160210311
2023-01-17,21134.0,2303.23144485,-0.0025956864410778824,20126.0,17583.5,96.69456066945607,1054.6441117770264,589.6724505162595,17995.65,21539.71678534186,14451.583214658143
2023-01-18,20670.0,3792.69900244,-0.021955143370871566,20517.428571428572,17724.3,87.71964461994077,1079.4593296947314,687.6298263519539,18197.75,21872.034398644344,14523.465601355658
2023-01-19,21086.0,2399.15671044,0.020125786163522008,20836.428571428572,17863.9,89.02528398680835,1119.7851063573798,774.060882353039,18421.9,22231.04782015681,14612.752179843192
2023-01-20,22678.0,2963.34995337,0.07550033197382144,21228.85714285714,18059.033333333333,91.35142939647704,1265.61544298644,872.3717944797193,18729.4,22873.058154973573,14585.741845026429
2023-01-21,22783.0,3083.37149842,0.00463003792221528,21489.285714285714,18257.766666666666,91.54568744662681,1373.823080596252,972.6620517030258,19037.8,23429.55814692344,14646.04185307656
2023-01-22,22717.0,1440.36384018,-0.002896896809024274,21751.0,18455.7,90.45967042497831,1437.6800835031318,1065.665658063047,19340.0,23876.020746264505,14803.979253735495
