,btc_price,btc_volume,eth_price,eth_volume,sol_price,sol_volume,btc_price_return,eth_price_return,sol_price_return,btc_price_MA7,btc_price_MA30,eth_price_MA7,eth_price_MA30,sol_price_MA7,sol_price_MA30,btc_price_RSI,btc_price_MACD,btc_price_Signal,btc_price_MA20,btc_price_BB_upper,btc_price_BB_lower,eth_price_RSI,eth_price_MACD,eth_price_Signal,eth_price_MA20,eth_price_BB_upper,eth_price_BB_lower,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower
2021-12-19,46704.67,1275.49937089,3922.28,8466.23956639,180.09805298,1678714066.0,-0.003779712711971639,-0.009915285897474702,-0.014970185534167402,47350.385714285716,52429.944,3912.285714285714,4194.022,171.7552054257143,195.16185455266665,41.738993460192454,-2720.550816261879,-2731.735774445837,50032.716499999995,56980.26684962095,43085.16615037904,42.947883982551495,-109.89890453342605,-89.53972136900495,4150.5185,4656.952254727437,3644.0847452725625,41.94361416307283,-9.268019935310548,-10.058223990038432,187.859955596,230.93099726201672,144.78891392998327
2021-12-20,46915.0,1726.01603262,3946.12,16426.6042467,173.67178345,1982986558.0,0.004503404049316817,0.0060780974331255955,-0.03568205998714302,47377.525714285715,52001.492666666665,3935.075714285714,4178.375666666666,174.39216613714285,193.68373819933333,38.491763390655315,-2635.776402492127,-2712.543900055095,49529.7605,55783.230176121324,43276.29082387867,38.74482350621178,-106.85640358653973,-93.00305781251191,4116.2805,4576.450655233183,3656.1103447668165,40.149326429889655,-9.007713879103733,-9.848121967851494,186.109995269,228.45880335961465,143.76118717838534
2021-12-21,48929.86,1674.16446918,4018.39,13607.41178651,180.09254456,1821107818.0,0.042947031866140906,0.018314192168509713,0.03697066375695135,47454.654285714285,51676.539,3957.3199999999997,4170.124,178.21375165714286,191.97740224166668,45.22038823469784,-2378.5907916754586,-2645.7532783791676,49113.674,54202.84960227976,44024.498397720236,42.084181318592336,-97.48981277531493,-93.90040880507252,4087.821,4492.297057291492,3683.3449427085075,45.09194642239528,-8.18892091029096,-9.516281756339387,183.6246604915,220.68130039921567,146.56802058378435
2021-12-22,48618.99,1306.16574192,3981.73,9073.77440969,178.59712219,1889229699.0,-0.006353380124120567,-0.009123056746607405,-0.00830363285528335,47417.81857142857,51420.70166666667,3951.78,4166.3786666666665,178.2503705714286,190.73939717566665,44.64998345765576,-2174.784392412541,-2551.5595011858422,48717.2255,52412.35145450886,45022.09954549114,36.89476108952957,-91.9647651280552,-93.51328006966907,4061.1060000000007,4413.756926996579,3708.4550730034225,42.33142470826084,-7.573388364123758,-9.127703077896262,180.8548645015,209.352476796709,152.357252206291
2021-12-23,50850.0,1715.35802664,4113.76,13186.81833363,190.03631592,2191634326.0,0.045887625390819586,0.03315895352020348,0.06405026906217692,47873.044285714284,51196.36866666667,3974.4485714285715,4158.753,180.11917768285713,189.67937774633336,59.432041044936035,-1812.3508386605317,-2403.71776868078,48572.541000000005,51606.4198703846,45538.66212961541,50.26234975245774,-76.05568489013876,-90.02176103376301,4055.654,4401.076920179351,3710.231079820649,54.32202810596633,-6.092298825398785,-8.520622227396768,179.79546051,204.9144822038259,154.67643881617408
2021-12-24,50841.48,1446.08883091,4049.93,6839.92964321,190.27319336,2286837232.0,-0.0001675516224187712,-0.015516218739061172,0.0012464851197164784,48534.55285714286,50984.916,3999.11,4151.3949999999995,182.2291630342857,188.85776621466667,60.994186461231195,-1508.4190134854798,-2224.65801764172,48652.866500000004,51841.70321373034,45464.02978626967,55.24569050921338,-67.81642618647038,-85.5806940643045,4051.925,4395.824993755788,3708.025006244213,62.46956472310007,-4.843576925766399,-7.785213167070694,179.25287857049997,202.8550097385827,155.65074740241724
2021-12-25,50442.22,823.04872916,4099.24,3850.63153297,193.1209259,1443209769.0,-0.007853036536308533,0.012175519083045927,0.014966546205024578,49043.17428571429,50699.98533333333,4018.778571428571,4137.177,183.6985626228571,188.42003072066666,53.480634111069676,-1284.955628935386,-2036.7175399004534,48701.8165,51972.046465854284,45431.58653414572,50.39296583315031,-56.65476849913557,-79.79550895127072,4046.9505,4384.7331505453485,3709.1678494546513,61.98232770031806,-3.582866551914634,-6.944743844039483,179.100511932,202.27838781864855,155.92263604535142
2021-12-26,50791.21,1015.22197466,4062.58,3919.40048497,198.00073242,1971114647.0,0.006918609054082037,-0.00894312116392304,0.025268139624220698,49626.96571428572,50600.047333333336,4038.8214285714284,4137.733,186.25608825714286,188.636330159,52.28537215138163,-1067.3944515364783,-1842.8529222276584,48713.62699999999,52013.60803648231,45413.64596351768,47.095055110141196,-50.18868605465195,-73.87414437194697,4032.2264999999998,4337.168865928158,3727.284134071841,63.39029666541658,-2.1650278009833244,-5.988800635428251,179.2905876155,203.04499322146413,155.53618200953585
2021-12-27,50718.11,1102.98343745,4037.4,7085.44843618,195.42950439,1800094698.0,-0.001439225409278433,-0.006198031792604697,-0.012985952115297628,50170.26714285714,50464.829,4051.861428571429,4135.636333333333,189.36433410571428,188.71390838566666,67.72685017886269,-890.6078373175478,-1652.4039052456365,48718.1665,52029.46214571312,45406.87085428688,63.33457387420916,-46.55937717587267,-68.41119093273211,4018.5134999999996,4293.768225225411,3743.258774774589,76.42527811257993,-1.2346250007837796,-5.037965508499356,179.53221740650002,203.8622076678182,155.20222714518184
2021-12-28,47543.3,2215.26863352,3793.08,21755.65390403,177.42562866,2826063568.0,-0.06259716696856399,-0.06051419230197652,-0.09212465531341363,49972.18714285714,50138.320666666674,4019.6742857142854,4118.710333333333,188.98334612000002,187.93887430766665,46.685665520994014,-995.2116257520829,-1520.9654493469259,48568.1665,51802.2424211628,45334.0905788372,46.86113215715987,-62.67522489562225,-67.26399772531013,3986.0395,4196.20141406921,3775.8775859307902,63.05702524440896,-1.9278137483107969,-4.415935156461645,178.6724136345,201.94975694916587,155.39507031983413
