date,btc_price,btc_high,btc_low,eth_price,eth_high,eth_low,sol_price,sol_high,sol_low,btc_sma_14,eth_sma_14,sol_sma_14,btc_sma_30,eth_sma_30,sol_sma_30
2023-12-01,38707.0,39000.0,37628.0,2088.6,2110.7,2046.1,59.80399704,61.75801849,58.77820969,37454.42857142857,2038.4928571428572,57.681349072857145,36707.3,1997.3433333333332,53.47250137266667
2023-12-02,39474.0,39725.0,38663.0,2165.8,2188.5,2087.2,63.83285904,63.83285904,59.77376175,37660.42857142857,2052.95,58.06135858785714,36858.53333333333,2009.5033333333333,54.26001103666667
2023-12-03,39989.0,40210.0,39304.0,2194.1,2218.0,2151.1,63.03996658,65.39625549,62.41662216,37843.5,2065.942857142857,58.178959165,37033.933333333334,2021.5533333333333,55.04401791833333
2023-12-04,41985.0,42404.0,39988.0,2243.8,2274.4,2192.4,61.52661514,65.13323975,60.28052139,38165.28571428572,2081.714285714286,58.53558649285714,37263.9,2034.44,55.68335189766667
2023-12-05,44075.0,44490.0,41415.0,2293.9,2310.4,2189.2,60.99483109,62.54000473,59.25082779,38759.357142857145,2107.4,59.178040640714286,37564.9,2047.75,56.341892878
2023-12-06,43764.0,44282.0,43419.0,2233.4,2312.1,2221.3,61.90295792,66.38362122,60.97986603,39212.21428571428,2119.4714285714285,59.48621204928571,37855.63333333333,2058.8,57.00103848766667
2023-12-07,43291.0,44044.0,42849.0,2358.3,2383.5,2222.6,67.83782959,69.30046844,61.87300873,39640.07142857143,2140.5857142857144,60.28895923071428,38118.2,2074.536666666667,57.825881322
2023-12-08,44193.0,44729.0,43078.0,2359.0,2392.4,2339.2,75.00243378,75.12979126,67.8412323,40100.57142857143,2160.307142857143,61.58438737071429,38403.3,2090.193333333333,58.88629951466667
2023-12-09,43712.0,44362.0,43605.0,2340.2,2403.1,2329.9,72.25760651,77.50202179,72.03968811,40522.21428571428,2178.592857142857,62.54232433928571,38637.26666666667,2097.49,59.78005879733333
2023-12-10,43786.0,44038.0,43582.0,2352.3,2376.9,2324.0,74.70588684,74.72459412,70.9192276,40974.07142857143,2199.285714285714,63.761123385,38852.833333333336,2106.6,60.382126617666664
2023-12-11,41242.0,43801.0,40181.0,2224.4,2355.0,2145.0,70.36717224,74.83811188,67.21549225,41259.92857142857,2213.3214285714284,64.85416276142857,38989.166666666664,2112.28,60.85761032133333
2023-12-12,41458.0,42071.0,40649.0,2201.2,2242.9,2165.4,68.54067993,72.34092712,65.96899414,41518.42857142857,2224.157142857143,65.59318488,39134.9,2117.4366666666665,61.27049636866667
2023-12-13,42888.0,43440.0,40589.0,2260.7,2283.8,2145.6,70.76778412,72.35475922,64.36977386,41877.357142857145,2240.6785714285716,66.41587448142857,39348.333333333336,2124.33,61.899187469666664
2023-12-14,43031.0,43409.0,41509.0,2315.7,2332.7,2227.2,75.62033081,76.17998505,69.85732269,42256.78571428572,2259.385714285714,67.58578218785715,39597.23333333333,2135.536666666667,62.52525266033334
2023-12-15,41925.0,43082.0,41664.0,2220.6,2318.2,2202.5,72.36898804,79.15106964,72.36663818,42486.642857142855,2268.8142857142857,68.483281545,39732.166666666664,2140.89,62.75307223033333
2023-12-16,42246.0,42676.0,41639.0,2227.3,2262.2,2211.6,73.47350311,77.07920074,71.56934357,42684.642857142855,2273.207142857143,69.17189897857143,39934.86666666667,2149.72,63.273142242666665
2023-12-17,41345.0,42364.0,41266.0,2194.8,2246.1,2190.7,71.0005188,74.72001648,70.82445526,42781.5,2273.2571428571428,69.74050985142857,40092.2,2157.48,63.692628352
2023-12-18,42650.0,42732.0,40513.0,2218.2,2223.1,2115.7,74.34716034,75.38053894,67.33440399,42829.0,2271.4285714285716,70.65626308,40294.2,2165.9733333333334,64.22044283566666
2023-12-19,42258.0,43456.0,41794.0,2177.5,2253.9,2135.8,72.98976898,76.27140808,72.01061249,42699.21428571428,2263.114285714286,71.51304435785714,40455.26666666667,2171.483333333333,64.606983185
2023-12-20,43665.0,44291.0,42207.0,2202.3,2264.7,2158.7,82.19123077,83.95745087,72.98999023,42692.142857142855,2260.8928571428573,72.96220670428572,40661.433333333334,2177.46,65.46222979233333
2023-12-21,43873.0,44240.0,43305.0,2240.0,2279.1,2183.4,93.85481262,95.32344055,81.23770905,42733.71428571428,2252.442857142857,74.820562635,40931.933333333334,2187.65,66.85737444566666
2023-12-22,44002.0,44076.0,43755.0,2326.1,2328.8,2312.6,98.00369263,99.1244278,90.79840088,42720.07142857143,2250.092857142857,76.46350969571428,41151.2,2196.3733333333334,68.20454559333334
2023-12-23,43733.0,44027.0,43347.0,2309.6,2332.5,2268.4,107.59423065,109.50884247,93.10676575,42721.57142857143,2247.907142857143,78.98755427714286,41365.6,2204.6033333333335,69.90437431333334
2023-12-24,43033.0,43954.0,42700.0,2264.7,2326.7,2246.3,112.48521423,117.38066864,107.7251358,42667.78571428572,2241.65,81.68607766214286,41541.833333333336,2210.6633333333334,71.75833346033333
2023-12-25,43591.0,43807.0,42771.0,2272.1,2305.0,2255.1,121.14646149,125.19389343,108.90338135,42835.57142857143,2245.057142857143,85.31316975142857,41734.566666666666,2216.9266666666667,73.83499921166667
2023-12-26,42510.0,43605.0,41639.0,2231.0,2275.7,2178.2,112.67673492,121.14399719,104.72821808,42910.71428571428,2247.1857142857143,88.46574510785715,41902.9,2222.54,75.66946703566667
2023-12-27,43473.0,43698.0,42121.0,2380.6,2393.1,2212.8,107.02379608,115.03387451,105.42523193,42952.5,2255.75,91.05546024785714,42110.666666666664,2234.2966666666666,77.40143953933334
2023-12-28,42583.0,43812.0,42288.0,2345.5,2447.2,2336.6,102.10456848,109.4206543,97.66864777,42920.5,2257.8785714285714,92.94719151,42268.8,2244.1633333333334,78.865112813
2023-12-29,42072.0,43128.0,41306.0,2299.6,2387.6,2257.2,106.31151581,109.67111969,100.05551147,42931.0,2263.5214285714287,95.37165777928571,42409.1,2253.17,80.43382568333334
2023-12-30,42148.0,42599.0,41529.0,2292.1,2322.7,2269.2,101.84508514,107.32822418,101.06812286,42924.0,2268.15,97.39819935285715,42556.73333333333,2261.1133333333332,81.85394109066667
2023-12-31,42258.0,42867.0,41976.0,2280.9,2320.5,2262.4,101.50582123,105.13354492,99.88642883,42989.21428571428,2274.3,99.57714952642857,42675.1,2267.5233333333335,83.244001897
2024-01-01,44187.0,44192.0,42188.0,2352.5,2352.9,2266.0,109.50868225,109.50868225,101.51280975,43099.0,2283.8928571428573,102.08868680571429,42832.2,2273.7466666666664,84.76652933733334
2024-01-02,44970.0,45922.0,44167.0,2356.5,2433.3,2342.4,106.61122131,116.88249207,106.38898468,43292.71428571428,2296.6785714285716,104.490219115,42998.23333333333,2279.16,86.218904495
2024-01-03,42865.0,45510.0,41454.0,2210.9,2386.3,2101.0,98.59443665,109.84809113,92.92366791,43235.57142857143,2297.292857142857,105.66187667785714,43027.566666666666,2278.0633333333335,87.45449854533334
2024-01-04,44186.0,44795.0,42656.0,2269.6,2296.5,2205.1,105.07753754,107.98246765,97.10832977,43257.92857142857,2299.407142857143,106.46349988642856,43031.26666666667,2277.2533333333336,88.92392209366666
2024-01-05,44184.0,44366.0,42500.0,2269.4,2278.5,2207.8,99.97879028,105.23542786,95.94272614,43270.92857142857,2295.3571428571427,106.60457829,43045.26666666667,2278.4533333333334,90.19311650566667
2024-01-06,43999.0,44253.0,43440.0,2241.5,2272.0,2217.0,93.85771942,100.03740692,92.022789,43289.92857142857,2290.4928571428572,105.62339891642857,43068.86666666667,2274.56,91.06044616666667
2024-01-07,43944.0,44500.0,43636.0,2222.8,2258.0,2207.3,89.2763443,96.69239807,88.22345734,43355.0,2287.5,103.96562249285714,43060.566666666666,2270.02,91.536243184
